Id экзамена;Id вопроса;Оценка за экзамен
3373871;30625752;1
3373871;30625753;2
3373871;30625754;1
3373871;30625755;2
3373872;30625790;1
3373872;30625791;2
3373872;30625792;1
3373872;30625793;2
3373873;30625829;2
3373873;30625830;1
3373873;30625831;2
3373874;30625867;2
3373874;30625868;1
3373874;30625869;2
3373875;30625904;1
3373875;30625905;2
3373875;30625906;1
3373875;30625907;2
3373876;30625942;1
3373876;30625943;2
3373876;30625944;1
3373876;30625945;2
3373878;30626019;2
3373878;30626020;1
3373878;30626021;2
3373879;30626057;2
3373879;30626058;1
3373879;30626059;2
3373880;30626095;2
3373880;30626096;1
3373880;30626097;2
3373882;30626171;2
3373882;30626172;1
3373882;30626173;2
3373883;30626209;2
3373883;30626210;1
3373883;30626211;2
3373884;30626247;2
3373884;30626248;1
3373884;30626249;2
3373902;30626594;1
3373902;30626595;2
3373902;30626596;1
3373902;30626597;2
3373906;30626686;2
3373906;30626688;2
3373907;30626723;1
3373907;30626724;2
3373907;30626725;1
3373907;30626726;2
3373908;30626761;1
3373908;30626762;2
3373908;30626763;1
3373908;30626764;2
3373909;30626800;2
3373909;30626801;1
3373909;30626802;2
3373910;30626837;1
3373910;30626838;2
3373910;30626839;1
3373910;30626840;2
3373914;30626990;2
3373914;30626991;1
3373914;30626992;2
3373915;30627027;1
3373915;30627028;2
3373915;30627029;1
3373915;30627030;2
3373916;30627066;2
3373916;30627067;1
3373916;30627068;2
3373917;30627103;1
3373917;30627104;2
3373917;30627105;1
3373917;30627106;2
3374051;30629040;1
3374051;30629041;2
3374051;30629042;1
3374051;30629043;2
3374052;30629079;2
3374052;30629080;1
3374052;30629081;2
3374091;30629717;2
3374091;30629719;2
3374093;30629775;2
3374093;30629776;1
3374093;30629777;2
3374095;30629832;1
3374095;30629833;2
3374095;30629834;1
3374095;30629835;2
3374098;30629910;1
3374098;30629911;2
3374098;30629912;1
3374098;30629913;2
3374099;30629948;1
3374099;30629949;2
3374099;30629950;1
3374099;30629951;2
3374100;30629987;2
