Id экзамена;Id вопроса;№ вопроса;Текст вопроса;Картинка из вопроса;Оценка экзаменатора;Транскрибация ответа;Ссылка на оригинальный файл запис,score,score_raw,score_confidence,score_status
"3373871;30625752;1;""<p>Добро пожаловать на экзамен! <br>Вопрос устной части экзамена. Начните диалог.</p>",100.0,1.0,1.0,success
"3373871;30625753;2;""<p>Вопрос устной части экзамена. Примите участие в диалоге. Ответьте на вопросы собеседника полными предложениями.<br><br></p>",100.0,1.0,1.0,success
"3373871;30625754;3;""<p>Вопрос устной части экзамена. Начните диалог. Получите нужную Вам информацию. Будьте вежливы.</p>",100.0,1.0,1.0,success
"3373871;30625755;4;""<p>Вопрос устной части экзамена. Опишите картинку.</p>",100.0,1.0,1.0,success
<p> </p>,100.0,1.0,1.0,success
"3373872;30625790;1;""<p>Добро пожаловать на экзамен! <br>Вопрос устной части экзамена. Начните диалог.</p>",100.0,1.0,1.0,success
"3373872;30625791;2;""<p>Вопрос устной части экзамена. Примите участие в диалоге. Ответьте на вопросы собеседника полными предложениями.<br><br></p>",100.0,1.0,1.0,success
"3373872;30625792;3;""<p>Вопрос устной части экзамена. Начните диалог. Получите нужную Вам информацию. Будьте вежливы.<br><br></p>",100.0,1.0,1.0,success
"3373872;30625793;4;""<p>Вопрос устной части экзамена. Опишите картинку.</p>",100.0,1.0,1.0,success
<p> </p>,100.0,1.0,1.0,success
"<p><strong><img src=""""https://storage-public.odin.study/8e72cc01-6efb-45ea-b2e7-7999291212da.PNG"""" width=""""658"""" height=""""385""""></strong></p>"";https://storage-public.odin.study/8e72cc01-6efb-45ea-b2e7-7999291212da.PNG;2;описание картинки ваше сообщение должно содержать информацию что изображено на рисунке место время года кого увидите на рисунке что делают эти люди рассказать подробно о любом человеке изображенным на рисунке ну и как думаете какой это человек последняя как вы проводите свое свободное время тоже я единственное не могу понять что там у женщины в синем руках все ладно на картинке я вижу сквер парк в котором отдыхают люди вижу велосипедиста вижу пожилого человека который на данной картинке просто сидит может там голубей кормит есть семья вижу женщина с двумя детьми с маленьким в районе года двух наверное из девочка которая играет классики наверное лет 7 бежит на заднем плане женщина несет что-то возможно шоколадку возможно деревяшку непонятно честно так он с шоколадкой дышит в шоколадке да это шоколадка честно непонятно не на горной желе она так с шоколадкой приближается а вдруг она очень радостная ладно может быть и вижу ребенка на роликовых коньках так нужно по ним еще расписать да каждого ну нет не каждого а кого-то одного если подробно одного человека ну давайте возьмем мужчину угу как уже сказал мужчине наверное порядка 65 70 лет он сидит в парке один почему один это остается за кадром может он по жизни один может быть у него жена дома может жены уже принципе нету он из-за этого находится в парке там воспоминания его греют или еще что то возможно он получает какой-то продукт покоение находясь в месте которое приближено к природе подальше от застроек городов выглядит как хороший человек добропорядочный добрый но ни с кем не контактирует ну вы не думаете что он с этой женщиной он не уделяет никакого внимания ни ребенку ни ей он даже направлен в другую сторону смотрит как будто он на что-то другом сосредоточен ну или о своем свободном времени расскажите свободное время по разному чем занимаюсь бывает гуляю бывает играю на компьютере бывает приходится спортом заниматься почему приходится ну не совсем много желания в эту сторону есть но нужно как бы для здоровья и каким спортом фитнес как бы там кардионагрузки в основном на тяжелые к сожалению нет времени потому что и после работы еще дополнительные обязанности есть и просто какие-то дополнительные подработки в итоге получается что все свободное время уходит опять же еще на работу сверху ну либо провожу время со своей второй половинкой пока еще не женат но в основном в основном живу на свободном времени все свободное время у нас проходит вместе и что вы делаете когда вы вместе ну либо мы так же гуляем проходимся вот по району либо в парк ходим либо по магазинам либо смотрим фильмы бывает играем на компьютере довольно часто взяли телевизор для того чтобы вместе это время перепроводить а не по отдельности также настольными играми увлекаемся вот несколько взяли там небольшая коллекция есть тоже чтобы вместе проводить время ну да отлично ещё;https://storage.yandexcloud.net/odin-exam-files-dataset/08c4b11f-3f54-4a58-ad4e-109face1d2a0-3.MP3",100.0,1.0,1.0,success
"3373873;30625829;2;""<p>Вопрос устной части экзамена. Примите участие в диалоге. Ответьте на вопросы собеседника полными предложениями.</p>",100.0,1.0,1.0,success
<p> </p>,100.0,1.0,1.0,success
"3373873;30625830;3;""<p>Вопрос устной части экзамена. Начните диалог. Получите нужную Вам информацию. Будьте вежливы.</p>",100.0,1.0,1.0,success
"3373873;30625831;4;""<p>Вопрос устной части экзамена. Опишите картинку.</p>",100.0,1.0,1.0,success
<p> </p>,100.0,1.0,1.0,success
"3373874;30625867;2;""<p>Вопрос устной части экзамена. Примите участие в диалоге. Ответьте на вопросы собеседника полными предложениями.</p>",100.0,1.0,1.0,success
"3373874;30625868;3;""<p>Вопрос устной части экзамена. Начните диалог. Получите нужную Вам информацию. Будьте вежливы.<br><br></p>",100.0,1.0,1.0,success
